Drug1,Drug2,Prob,Method
DB03568,Retinal_dehydrogenase_1,0.3813,GIP
DB00127,Arylamine_N-acetyltransferase_1,0.3799,GIP
DB01213,Arylamine_N-acetyltransferase_1,0.3794,GIP
DB03568,Amine_oxidase_[flavin-containing]_B,0.3759,GIP
DB04827,Amine_oxidase_[flavin-containing]_B,0.3687,GIP
DB00127,Nucleoside_diphosphate_kinase_B,0.3657,GIP
DB09072,Retinal_dehydrogenase_1,0.3606,GIP
DB06728,Amine_oxidase_[flavin-containing]_A,0.358,GIP
DB00122,Aldehyde_dehydrogenase_mitochondrial,0.3566,GIP
DB00592,Retinal_dehydrogenase_1,0.3566,GIP
DB03822,Retinal_dehydrogenase_1,0.3551,GIP
DB01577,Carbonyl_reductase_[NADPH]_1,0.3534,GIP
DB06728,Aldehyde_dehydrogenase_mitochondrial,0.3516,GIP
DB00127,Metallothionein-1A,0.348,GIP
DB00127,Metallothionein-2,0.3474,GIP
DB01612,Nucleoside_diphosphate_kinase_A,0.3371,GIP
DB00127,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.3368,GIP
DB09571,Carbonyl_reductase_[NADPH]_1,0.3343,GIP
DB03756,Aldehyde_dehydrogenase_mitochondrial,0.3319,GIP
DB09276,Carbonyl_reductase_[NADPH]_1,0.3306,GIP
DB00130,Carbonyl_reductase_[NADPH]_1,0.3286,GIP
DB02486,Amine_oxidase_[flavin-containing]_A,0.326,GIP
DB09459,Carbonyl_reductase_[NADPH]_1,0.3224,GIP
DB04827,Aldehyde_dehydrogenase_mitochondrial,0.3144,GIP
DB04250,Carbonyl_reductase_[NADPH]_1,0.3064,GIP
DB06727,Aldehyde_dehydrogenase_mitochondrial,0.3051,GIP
DB00592,Amine_oxidase_[flavin-containing]_B,0.3043,GIP
DB06689,Amine_oxidase_[flavin-containing]_B,0.3019,GIP
DB01236,Carbonyl_reductase_[NADPH]_1,0.3009,GIP
DB00161,Amine_oxidase_[flavin-containing]_B,0.2954,GIP
DB00915,Carbonyl_reductase_[NADPH]_1,0.2953,GIP
DB06728,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.293,GIP
DB01213,Metallothionein-2,0.2897,GIP
DB02486,Aldehyde_dehydrogenase_mitochondrial,0.2862,GIP
DB00182,Carbonyl_reductase_[NADPH]_1,0.28300000000000003,GIP
DB01576,Carbonyl_reductase_[NADPH]_1,0.2809,GIP
DB03088,Retinal_dehydrogenase_1,0.2806,GIP
DB00592,Aldehyde_dehydrogenase_mitochondrial,0.2802,GIP
DB06728,Amine_oxidase_[flavin-containing]_B,0.2799,GIP
DB06689,Amine_oxidase_[flavin-containing]_A,0.2766,GIP
DB01005,Amine_oxidase_[flavin-containing]_B,0.2729,GIP
DB03756,Amine_oxidase_[flavin-containing]_A,0.27,GIP
DB01612,Metallothionein-1A,0.2697,GIP
DB06728,Metallothionein-2,0.2688,GIP
DB02509,Aldehyde_dehydrogenase_mitochondrial,0.2684,GIP
DB00122,Retinal_dehydrogenase_1,0.2641,GIP
DB01612,UMP-CMP_kinase,0.2636,GIP
DB01043,Carbonyl_reductase_[NADPH]_1,0.2583,GIP
DB00134,Carbonyl_reductase_[NADPH]_1,0.2581,GIP
DB03822,Nucleoside_diphosphate_kinase_B,0.2579,GIP
DB01008,Carbonyl_reductase_[NADPH]_1,0.2578,GIP
DB00780,Carbonyl_reductase_[NADPH]_1,0.2533,GIP
DB00313,Carbonyl_reductase_[NADPH]_1,0.2528,GIP
DB03088,Glutathione_S-transferase_P,0.2525,GIP
DB04827,Nucleoside_diphosphate_kinase_A,0.2513,GIP
DB01612,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_2,0.2506,GIP
DB03822,Nucleoside_diphosphate_kinase_A,0.2502,GIP
DB01213,Arylamine_N-acetyltransferase_2,0.2476,GIP
DB00127,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_2,0.2475,GIP
DB04557,Carbonyl_reductase_[NADPH]_3,0.2464,GIP
DB00746,Glutathione_S-transferase_P,0.24600000000000002,GIP
DB03822,Metallothionein-2,0.2436,GIP
DB01213,Amine_oxidase_[flavin-containing]_B,0.2432,GIP
DB05057,Glutathione_S-transferase_P,0.2372,GIP
DB00127,Arylamine_N-acetyltransferase_2,0.237,GIP
DB00515,Amine_oxidase_[flavin-containing]_A,0.2359,GIP
DB09072,Nucleoside_diphosphate_kinase_A,0.2357,GIP
DB09322,Retinal_dehydrogenase_1,0.2356,GIP
DB00325,Carbonyl_reductase_[NADPH]_3,0.2337,GIP
DB01213,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_2,0.2334,GIP
DB01028,UMP-CMP_kinase,0.2331,GIP
DB01213,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_1,0.23199999999999998,GIP
DB06728,Metallothionein-1A,0.2316,GIP
DB01612,Arylamine_N-acetyltransferase_2,0.2311,GIP
DB03822,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.2304,GIP
DB00127,Nucleoside_diphosphate_kinase_A,0.2291,GIP
DB06819,Carbonyl_reductase_[NADPH]_1,0.2286,GIP
DB00742,Aldehyde_dehydrogenase_mitochondrial,0.2286,GIP
DB09462,Amine_oxidase_[flavin-containing]_B,0.2248,GIP
DB09499,Aldehyde_dehydrogenase_mitochondrial,0.2245,GIP
DB00592,Amine_oxidase_[flavin-containing]_A,0.2232,GIP
DB01241,Aldehyde_dehydrogenase_mitochondrial,0.2224,GIP
DB01612,Arylamine_N-acetyltransferase_1,0.2223,GIP
DB01159,Aldehyde_dehydrogenase_mitochondrial,0.2217,GIP
DB01612,Nucleoside_diphosphate_kinase_B,0.2189,GIP
DB01213,UMP-CMP_kinase,0.2187,GIP
DB02845,Aldehyde_dehydrogenase_mitochondrial,0.2171,GIP
DB03822,Arylamine_N-acetyltransferase_2,0.2166,GIP
DB01028,Amine_oxidase_[flavin-containing]_A,0.2162,GIP
DB01005,Retinal_dehydrogenase_1,0.2137,GIP
DB00513,Retinal_dehydrogenase_1,0.2132,GIP
DB06728,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_2,0.20800000000000002,GIP
DB09499,Retinal_dehydrogenase_1,0.2079,GIP
DB02509,UMP-CMP_kinase,0.2079,GIP
DB01028,Aldehyde_dehydrogenase_mitochondrial,0.2067,GIP
DB03128,Amine_oxidase_[flavin-containing]_A,0.2063,GIP
DB06470,Glutathione_S-transferase_P,0.2063,GIP
DB00851,Carbonyl_reductase_[NADPH]_3,0.2058,GIP
DB09072,Metallothionein-1A,0.2055,GIP
DB06728,Nucleoside_diphosphate_kinase_B,0.2034,GIP
DB11127,Retinal_dehydrogenase_1,0.2011,GIP
DB02509,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.2005,GIP
DB00841,Amine_oxidase_[flavin-containing]_A,0.2001,GIP
DB01213,Metallothionein-1A,0.2001,GIP
DB01213,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1998,GIP
DB03822,Metallothionein-1A,0.1987,GIP
DB00122,Nucleoside_diphosphate_kinase_A,0.1982,GIP
DB09288,Amine_oxidase_[flavin-containing]_A,0.1982,GIP
DB02486,Nucleoside_diphosphate_kinase_B,0.1978,GIP
DB06728,Nucleoside_diphosphate_kinase_A,0.1973,GIP
DB05057,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1971,GIP
DB00575,Carbonyl_reductase_[NADPH]_3,0.1963,GIP
DB00742,UMP-CMP_kinase,0.1961,GIP
DB01241,Retinal_dehydrogenase_1,0.1944,GIP
DB06728,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_1,0.1937,GIP
DB09072,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_2,0.1927,GIP
DB02486,Amine_oxidase_[flavin-containing]_B,0.1919,GIP
DB06727,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1914,GIP
DB06264,Aldehyde_dehydrogenase_mitochondrial,0.1914,GIP
DB00742,Amine_oxidase_[flavin-containing]_A,0.1914,GIP
DB06728,Arylamine_N-acetyltransferase_1,0.1914,GIP
DB08826,Carbonyl_reductase_[NADPH]_3,0.1911,GIP
DB00122,Amine_oxidase_[flavin-containing]_B,0.191,GIP
DB02486,Metallothionein-2,0.1909,GIP
DB00255,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1907,GIP
DB04827,Nucleoside_diphosphate_kinase_B,0.1906,GIP
DB09269,Carbonyl_reductase_[NADPH]_3,0.1906,GIP
DB01612,Metallothionein-2,0.1905,GIP
DB02509,Steroid_17-alpha-hydroxylase/17-20_lyase,0.1891,GIP
DB04818,Glutathione_S-transferase_P,0.1886,GIP
DB03822,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_2,0.1881,GIP
DB01056,Amine_oxidase_[flavin-containing]_A,0.1872,GIP
DB09072,UMP-CMP_kinase,0.1868,GIP
DB06264,Amine_oxidase_[flavin-containing]_A,0.1861,GIP
DB00127,Steroid_17-alpha-hydroxylase/17-20_lyase,0.1861,GIP
DB09072,Nucleoside_diphosphate_kinase_B,0.18600000000000003,GIP
DB09270,Carbonyl_reductase_[NADPH]_3,0.1846,GIP
DB06727,Glutathione_S-transferase_P,0.1844,GIP
DB00763,Carbonyl_reductase_[NADPH]_3,0.1844,GIP
DB00571,Amine_oxidase_[flavin-containing]_A,0.1844,GIP
DB01131,Aldehyde_dehydrogenase_mitochondrial,0.1837,GIP
DB06756,Aldehyde_dehydrogenase_mitochondrial,0.1835,GIP
DB00818,Amine_oxidase_[flavin-containing]_A,0.1835,GIP
DB00262,Glutathione_S-transferase_P,0.183,GIP
DB00804,Aldehyde_dehydrogenase_mitochondrial,0.1829,GIP
DB03756,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1828,GIP
DB04132,Carbonyl_reductase_[NADPH]_3,0.1826,GIP
DB06727,Amine_oxidase_[flavin-containing]_A,0.1825,GIP
DB06594,Aldehyde_dehydrogenase_mitochondrial,0.1825,GIP
DB00161,Aldehyde_dehydrogenase_mitochondrial,0.1823,GIP
DB00515,Aldehyde_dehydrogenase_mitochondrial,0.1818,GIP
DB00255,Aldehyde_dehydrogenase_mitochondrial,0.1809,GIP
DB00636,Amine_oxidase_[flavin-containing]_B,0.1803,GIP
DB00592,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1802,GIP
DB02845,Amine_oxidase_[flavin-containing]_A,0.18,GIP
DB06204,Amine_oxidase_[flavin-containing]_A,0.179,GIP
DB06689,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.179,GIP
DB00515,Retinal_dehydrogenase_1,0.1789,GIP
DB00173,Glutathione_S-transferase_P,0.1789,GIP
DB03128,Aldehyde_dehydrogenase_mitochondrial,0.1788,GIP
DB00281,Amine_oxidase_[flavin-containing]_B,0.1785,GIP
DB01122,Carbonyl_reductase_[NADPH]_3,0.1782,GIP
DB01028,Retinal_dehydrogenase_1,0.1779,GIP
DB04827,UMP-CMP_kinase,0.1774,GIP
DB01612,Glutathione_S-transferase_A2,0.177,GIP
DB04827,Metallothionein-2,0.1766,GIP
DB00395,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1763,GIP
DB11590,Carbonyl_reductase_[NADPH]_3,0.1762,GIP
DB01046,Carbonyl_reductase_[NADPH]_3,0.1759,GIP
DB00127,Glutathione_S-transferase_Mu_1,0.1753,GIP
DB01056,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1753,GIP
DB01171,Aldehyde_dehydrogenase_mitochondrial,0.1753,GIP
DB00134,Carbonyl_reductase_[NADPH]_3,0.1737,GIP
DB03568,Metallothionein-1A,0.1733,GIP
DB00513,Amine_oxidase_[flavin-containing]_A,0.1731,GIP
DB01580,Retinal_dehydrogenase_1,0.1724,GIP
DB01018,Carbonyl_reductase_[NADPH]_3,0.1724,GIP
DB01213,Steroid_17-alpha-hydroxylase/17-20_lyase,0.1718,GIP
DB00531,Carbonyl_reductase_[NADPH]_3,0.1717,GIP
DB01206,Retinal_dehydrogenase_1,0.1717,GIP
DB03822,Arylamine_N-acetyltransferase_1,0.1717,GIP
DB06770,Amine_oxidase_[flavin-containing]_B,0.1717,GIP
DB00501,Retinal_dehydrogenase_1,0.1716,GIP
DB00291,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1715,GIP
DB00737,Carbonyl_reductase_[NADPH]_3,0.1715,GIP
DB00550,Carbonyl_reductase_[NADPH]_1,0.1714,GIP
DB00191,UMP-CMP_kinase,0.1714,GIP
DB00968,Carbonyl_reductase_[NADPH]_3,0.1709,GIP
DB09462,Aldehyde_dehydrogenase_mitochondrial,0.1708,GIP
DB01612,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1707,GIP
DB00883,Carbonyl_reductase_[NADPH]_3,0.1706,GIP
DB00804,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1706,GIP
DB00755,Glutathione_S-transferase_P,0.1705,GIP
DB01612,Glutathione_S-transferase_Mu_1,0.1701,GIP
DB09502,Glutathione_S-transferase_P,0.17,GIP
DB00313,UDP-glucuronosyltransferase_1-7,0.1696,GIP
DB00395,Retinal_dehydrogenase_1,0.1683,GIP
DB03756,Steroid_17-alpha-hydroxylase/17-20_lyase,0.1681,GIP
DB04827,Arylamine_N-acetyltransferase_1,0.1677,GIP
DB06413,Carbonyl_reductase_[NADPH]_1,0.1677,GIP
DB01241,Carbonyl_reductase_[NADPH]_1,0.1676,GIP
DB06770,UMP-CMP_kinase,0.1672,GIP
DB00891,Carbonyl_reductase_[NADPH]_3,0.1669,GIP
DB06716,Carbonyl_reductase_[NADPH]_3,0.1669,GIP
DB01173,Carbonyl_reductase_[NADPH]_3,0.1666,GIP
DB00742,Retinal_dehydrogenase_1,0.1663,GIP
DB03568,Metallothionein-2,0.1662,GIP
DB01296,Carbonyl_reductase_[NADPH]_3,0.1657,GIP
DB00703,Carbonyl_reductase_[NADPH]_3,0.1657,GIP
DB00281,Cytochrome_P450_2C19,0.1654,GIP
DB00951,UMP-CMP_kinase,0.1651,GIP
DB00184,Carbonyl_reductase_[NADPH]_3,0.1648,GIP
DB06728,Glutathione_S-transferase_Mu_1,0.1647,GIP
DB00281,Amine_oxidase_[flavin-containing]_A,0.1645,GIP
DB00281,Retinal_dehydrogenase_1,0.1633,GIP
DB01367,Carbonyl_reductase_[NADPH]_3,0.1623,GIP
DB00359,Carbonyl_reductase_[NADPH]_3,0.1621,GIP
DB01612,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_1,0.1616,GIP
DB06770,Amine_oxidase_[flavin-containing]_A,0.1615,GIP
DB06731,Carbonyl_reductase_[NADPH]_3,0.1614,GIP
DB02509,Retinal_dehydrogenase_1,0.1612,GIP
DB00593,Glutathione_S-transferase_P,0.161,GIP
DB00122,Metallothionein-2,0.16,GIP
DB00917,Carbonyl_reductase_[NADPH]_3,0.16,GIP
DB06778,Retinal_dehydrogenase_1,0.1599,GIP
DB00316,UMP-CMP_kinase,0.1594,GIP
DB00585,Carbonyl_reductase_[NADPH]_3,0.1582,GIP
DB01168,Aldehyde_dehydrogenase_mitochondrial,0.1577,GIP
DB00312,Carbonyl_reductase_[NADPH]_3,0.1573,GIP
DB00804,Amine_oxidase_[flavin-containing]_B,0.1569,GIP
DB00677,Carbonyl_reductase_[NADPH]_3,0.1568,GIP
DB00945,Carbonyl_reductase_[NADPH]_3,0.1563,GIP
DB00458,Cytochrome_P450_2C9,0.1563,GIP
DB06637,Carbonyl_reductase_[NADPH]_1,0.1561,GIP
DB00742,Carbonyl_reductase_[NADPH]_1,0.1561,GIP
DB00852,Retinal_dehydrogenase_1,0.1557,GIP
DB04818,Amine_oxidase_[flavin-containing]_A,0.1555,GIP
DB00989,Carbonyl_reductase_[NADPH]_3,0.1555,GIP
DB04827,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_2,0.1552,GIP
DB00411,Aldehyde_dehydrogenase_mitochondrial,0.155,GIP
DB00169,Carbonyl_reductase_[NADPH]_3,0.1547,GIP
DB01151,Cytochrome_P450_2C9,0.1545,GIP
DB00127,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_1,0.1545,GIP
DB00291,Amine_oxidase_[flavin-containing]_B,0.1541,GIP
DB00672,Carbonyl_reductase_[NADPH]_3,0.154,GIP
DB00557,Carbonyl_reductase_[NADPH]_3,0.154,GIP
DB00949,Glutathione_S-transferase_P,0.154,GIP
DB00755,Cytochrome_P450_2C19,0.1539,GIP
DB03568,Arylamine_N-acetyltransferase_2,0.1538,GIP
DB09571,UMP-CMP_kinase,0.1537,GIP
DB02486,Metallothionein-1A,0.1537,GIP
DB04953,Carbonyl_reductase_[NADPH]_3,0.1535,GIP
DB11672,Carbonyl_reductase_[NADPH]_3,0.1533,GIP
DB00742,Steroid_17-alpha-hydroxylase/17-20_lyase,0.1533,GIP
DB03088,Aldehyde_dehydrogenase_mitochondrial,0.1533,GIP
DB01156,Cytochrome_P450_2C19,0.1529,GIP
DB00847,Amine_oxidase_[flavin-containing]_A,0.1524,GIP
DB04871,Carbonyl_reductase_[NADPH]_3,0.1523,GIP
DB09072,Metallothionein-2,0.1522,GIP
DB01577,UMP-CMP_kinase,0.1519,GIP
DB03128,Steroid_17-alpha-hydroxylase/17-20_lyase,0.1517,GIP
DB00411,UMP-CMP_kinase,0.1514,GIP
DB02300,Carbonyl_reductase_[NADPH]_3,0.1513,GIP
DB01580,Aldehyde_dehydrogenase_mitochondrial,0.1512,GIP
DB03822,Glutathione_S-transferase_Mu_1,0.1511,GIP
DB09414,Retinal_dehydrogenase_1,0.151,GIP
DB05541,Carbonyl_reductase_[NADPH]_3,0.1508,GIP
DB09212,Carbonyl_reductase_[NADPH]_3,0.1505,GIP
DB00269,Carbonyl_reductase_[NADPH]_3,0.1501,GIP
DB09413,Amine_oxidase_[flavin-containing]_A,0.1501,GIP
DB00122,Nucleoside_diphosphate_kinase_B,0.1497,GIP
DB09214,Carbonyl_reductase_[NADPH]_3,0.1493,GIP
DB00788,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1492,GIP
DB01056,Amine_oxidase_[flavin-containing]_B,0.1492,GIP
DB13749,Glutathione_S-transferase_P,0.1491,GIP
DB09499,Nucleoside_diphosphate_kinase_B,0.1487,GIP
DB00804,Retinal_dehydrogenase_1,0.1481,GIP
DB00255,Retinal_dehydrogenase_1,0.1481,GIP
DB01093,Aldehyde_dehydrogenase_mitochondrial,0.1478,GIP
DB01035,Aldehyde_dehydrogenase_mitochondrial,0.1475,GIP
DB04841,Carbonyl_reductase_[NADPH]_3,0.1474,GIP
DB00636,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1473,GIP
DB01234,Cytochrome_P450_1A2,0.1472,GIP
DB00866,Carbonyl_reductase_[NADPH]_3,0.1472,GIP
DB01612,S-adenosylmethionine_synthase_isoform_type-2,0.1471,GIP
DB00381,Cytochrome_P450_2C19,0.1464,GIP
DB11090,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1463,GIP
DB06262,Carbonyl_reductase_[NADPH]_3,0.1461,GIP
DB04827,Metallothionein-1A,0.1458,GIP
DB00599,Carbonyl_reductase_[NADPH]_3,0.1457,GIP
DB01159,Amine_oxidase_[flavin-containing]_A,0.1457,GIP
DB00121,Carbonyl_reductase_[NADPH]_3,0.1455,GIP
DB01351,Carbonyl_reductase_[NADPH]_3,0.1451,GIP
DB00857,Aldehyde_dehydrogenase_mitochondrial,0.145,GIP
DB01012,Carbonyl_reductase_[NADPH]_3,0.1449,GIP
DB00544,Glutathione_S-transferase_P,0.1448,GIP
DB01159,Retinal_dehydrogenase_1,0.1447,GIP
DB06732,Carbonyl_reductase_[NADPH]_3,0.1443,GIP
DB00711,UMP-CMP_kinase,0.1438,GIP
DB01159,Cytochrome_P450_2C19,0.1437,GIP
DB01191,Amine_oxidase_[flavin-containing]_B,0.1433,GIP
DB06778,Aldehyde_dehydrogenase_mitochondrial,0.1429,GIP
DB00161,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1429,GIP
DB00257,Cytochrome_P450_3A5,0.1424,GIP
DB06204,Aldehyde_dehydrogenase_mitochondrial,0.1421,GIP
DB00792,Carbonyl_reductase_[NADPH]_3,0.1419,GIP
DB09499,Amine_oxidase_[flavin-containing]_B,0.1418,GIP
DB01064,Carbonyl_reductase_[NADPH]_1,0.1418,GIP
DB00730,Carbonyl_reductase_[NADPH]_3,0.1417,GIP
DB00339,UMP-CMP_kinase,0.1416,GIP
DB03756,Metallothionein-1A,0.1415,GIP
DB00938,Carbonyl_reductase_[NADPH]_3,0.141,GIP
DB00262,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1409,GIP
DB01400,Carbonyl_reductase_[NADPH]_1,0.1407,GIP
DB09414,Aldehyde_dehydrogenase_mitochondrial,0.1405,GIP
DB00515,Amine_oxidase_[flavin-containing]_B,0.1404,GIP
DB11127,Amine_oxidase_[flavin-containing]_A,0.1404,GIP
DB00161,Amine_oxidase_[flavin-containing]_A,0.1404,GIP
DB02486,Glutathione_S-transferase_A2,0.1402,GIP
DB01168,Retinal_dehydrogenase_1,0.1402,GIP
DB01024,UDP-glucuronosyltransferase_1-8,0.1402,GIP
DB01131,Glutathione_S-transferase_P,0.14,GIP
DB09288,Retinal_dehydrogenase_1,0.14,GIP
DB00162,Glutathione_S-transferase_P,0.1399,GIP
DB06770,Steroid_17-alpha-hydroxylase/17-20_lyase,0.1398,GIP
DB00127,S-adenosylmethionine_synthase_isoform_type-2,0.1396,GIP
DB01612,Glutathione_S-transferase_A1,0.1396,GIP
DB00153,Carbonyl_reductase_[NADPH]_3,0.1396,GIP
DB00908,Cytochrome_P450_2C19,0.1394,GIP
DB01131,Amine_oxidase_[flavin-containing]_A,0.1394,GIP
DB00255,Cytochrome_P450_2C19,0.1394,GIP
DB00861,Carbonyl_reductase_[NADPH]_3,0.1393,GIP
DB00459,Carbonyl_reductase_[NADPH]_3,0.1393,GIP
DB09148,Amine_oxidase_[flavin-containing]_A,0.1391,GIP
DB02901,Glutathione_S-transferase_P,0.139,GIP
DB00122,Metallothionein-1A,0.1389,GIP
DB06152,Carbonyl_reductase_[NADPH]_3,0.1388,GIP
DB06689,Metallothionein-2,0.1387,GIP
DB09224,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1387,GIP
DB09070,Carbonyl_reductase_[NADPH]_3,0.1382,GIP
DB00788,Aldehyde_dehydrogenase_mitochondrial,0.1382,GIP
DB01093,Amine_oxidase_[flavin-containing]_A,0.1382,GIP
DB01213,S-adenosylmethionine_synthase_isoform_type-2,0.1381,GIP
DB01014,Carbonyl_reductase_[NADPH]_3,0.1378,GIP
DB06728,Glutathione_S-transferase_A2,0.1376,GIP
DB06770,Retinal_dehydrogenase_1,0.1374,GIP
DB03568,Nucleoside_diphosphate_kinase_B,0.1374,GIP
DB00576,Carbonyl_reductase_[NADPH]_3,0.13699999999999998,GIP
DB01213,Glutathione_S-transferase_Mu_1,0.1369,GIP
DB02901,Succinate-semialdehyde_dehydrogenase_mitochondrial,0.1368,GIP
DB00122,3_beta-hydroxysteroid_dehydrogenase/Delta_5-->4-isomerase_type_2,0.1367,GIP
