Drug1,Drug2,Prob,Source,Method
DB00443,DB01213,0.3809,CRD,LapRLS
DB00588,DB06689,0.3808,CRD,LapRLS
DB11274,DB00503,0.3807,DrugBank,LapRLS
DB00263,DB06689,0.3806,CRD,LapRLS
DB00247,DB06689,0.3804,CRD,LapRLS
DB00337,DB06728,0.3803,CRD,LapRLS
DB00619,DB06689,0.3793,CRD,LapRLS
DB00502,DB01213,0.3785,CRD,LapRLS
DB00682,DB01213,0.3781,CRD,LapRLS
DB00584,DB01213,0.3778,CRD,LapRLS
DB00435,DB06728,0.3778,CRD,LapRLS
DB00643,DB01213,0.3774,CRD,LapRLS
DB00136,DB06689,0.3774,CRD,LapRLS
DB00339,DB01213,0.3766,CRD,LapRLS
DB09250,DB08985,0.3765,DrugBank,LapRLS
DB00624,DB06728,0.3765,CRD,LapRLS
DB00435,DB03756,0.3762,CRD,LapRLS
DB11785,DB00273,0.3758,DrugBank,LapRLS
DB00312,DB03756,0.3752,CRD,LapRLS
DB00273,DB06689,0.3748,CRD,LapRLS
DB09049,DB01175,0.3741,DrugBank,LapRLS
DB00173,DB00127,0.3733,NCRD,LapRLS
DB00246,DB06689,0.3732,CRD,LapRLS
DB00758,DB03128,0.373,CRD,LapRLS
DB01151,DB09203,0.3729,DrugBank,LapRLS
DB00239,DB03128,0.3726,CRD,LapRLS
DB00688,DB06728,0.3724,CRD,LapRLS
DB00856,DB09269,0.3718,NCRD,LapRLS
DB00814,DB06728,0.3715,CRD,LapRLS
DB00603,DB01213,0.3712,CRD,LapRLS
DB00783,DB06728,0.3705,CRD,LapRLS
DB00248,DB06728,0.3704,CRD,LapRLS
DB00546,DB09194,0.3703,DrugBank,LapRLS
DB00262,DB01213,0.3696,CRD,LapRLS
DB13114,DB01353,0.3695,DrugBank,LapRLS
DB01151,DB04557,0.3694,CRD,LapRLS
DB00408,DB09167,0.3694,DrugBank,LapRLS
DB00296,DB06689,0.3681,CRD,LapRLS
DB01151,DB01364,0.3675,DrugBank,LapRLS
DB00180,DB06728,0.3675,CRD,LapRLS
DB11785,DB00454,0.3671,DrugBank,LapRLS
DB00367,DB06689,0.3671,CRD,LapRLS
DB01576,DB00514,0.3663,DrugBank,LapRLS
DB00296,DB13443,0.3663,DrugBank,LapRLS
DB00188,DB06689,0.3662,CRD,LapRLS
DB00363,DB06707,0.3651,DrugBank,LapRLS
DB00679,DB06707,0.3651,DrugBank,LapRLS
DB00917,DB13509,0.3637,DrugBank,LapRLS
DB00620,DB01213,0.3634,CRD,LapRLS
DB08996,DB08985,0.3612,DrugBank,LapRLS
DB01242,DB08985,0.3611,DrugBank,LapRLS
DB00856,DB05381,0.361,NCRD,LapRLS
DB00333,DB00721,0.361,DrugBank,LapRLS
DB00700,DB06728,0.3604,CRD,LapRLS
DB00270,DB03756,0.3604,CRD,LapRLS
DB01151,DB05395,0.3604,DrugBank,LapRLS
DB00232,DB08952,0.36,DrugBank,LapRLS
DB00295,DB06800,0.3599,DrugBank,LapRLS
DB00546,DB00503,0.3597,DrugBank,LapRLS
DB00777,DB00468,0.3594,DrugBank,LapRLS
DB00298,DB00289,0.3592,DrugBank,LapRLS
DB00204,DB03756,0.3589,CRD,LapRLS
DB00261,DB06728,0.3588,CRD,LapRLS
DB00263,DB03128,0.3575,CRD,LapRLS
DB09070,DB08873,0.3574,DrugBank,LapRLS
DB13384,DB00468,0.3572,DrugBank,LapRLS
DB01078,DB11901,0.3569,DrugBank,LapRLS
DB09070,DB00220,0.3567,DrugBank,LapRLS
DB00346,DB06728,0.3567,CRD,LapRLS
DB09070,DB01232,0.3565,DrugBank,LapRLS
DB00571,DB06728,0.3554,CRD,LapRLS
DB00446,DB01213,0.3552,CRD,LapRLS
DB00762,DB06728,0.355,CRD,LapRLS
DB09250,DB08941,0.355,DrugBank,LapRLS
DB00408,DB00208,0.3546,DrugBank,LapRLS
DB00246,DB06728,0.3544,CRD,LapRLS
DB00724,DB06728,0.354,CRD,LapRLS
DB00338,DB06728,0.3537,CRD,LapRLS
DB00280,DB03756,0.3534,CRD,LapRLS
DB09248,DB08985,0.3533,DrugBank,LapRLS
DB00289,DB03756,0.3532,CRD,LapRLS
DB13384,DB08985,0.3524,DrugBank,LapRLS
DB00091,DB06689,0.3523,CRD,LapRLS
DB00153,DB03128,0.3517,CRD,LapRLS
DB01626,DB08985,0.3517,DrugBank,LapRLS
DB00633,DB04557,0.3511,CRD,LapRLS
DB00318,DB06800,0.35100000000000003,DrugBank,LapRLS
DB00967,DB00289,0.3508,DrugBank,LapRLS
DB11785,DB00333,0.3505,DrugBank,LapRLS
DB00280,DB03128,0.3504,CRD,LapRLS
DB00468,DB09240,0.3503,DrugBank,LapRLS
DB00193,DB06728,0.3502,CRD,LapRLS
DB00443,DB06689,0.3501,CRD,LapRLS
DB09070,DB09280,0.35,DrugBank,LapRLS
DB00734,DB06707,0.3495,DrugBank,LapRLS
DB09214,DB00278,0.3495,DrugBank,LapRLS
DB00661,DB06728,0.3493,CRD,LapRLS
DB00546,DB01175,0.3487,DrugBank,LapRLS
DB00762,DB06689,0.3485,CRD,LapRLS
DB00537,DB06689,0.3484,CRD,LapRLS
DB01037,DB06678,0.3483,DrugBank,LapRLS
DB00700,DB01213,0.3479,CRD,LapRLS
DB00673,DB06689,0.3478,CRD,LapRLS
DB01615,DB01472,0.3476,DrugBank,LapRLS
DB08951,DB13509,0.3475,DrugBank,LapRLS
DB01151,DB08941,0.3475,DrugBank,LapRLS
DB01242,DB06152,0.3471,DrugBank,LapRLS
DB01151,DB06152,0.34700000000000003,DrugBank,LapRLS
DB00961,DB11642,0.3469,DrugBank,LapRLS
DB13384,DB01353,0.3467,DrugBank,LapRLS
DB00856,DB01143,0.3465,NCRD,LapRLS
DB00289,DB06689,0.3465,CRD,LapRLS
DB01162,DB00215,0.3463,DrugBank,LapRLS
DB09214,DB01609,0.3461,DrugBank,LapRLS
DB00153,DB06689,0.3456,CRD,LapRLS
DB00961,DB00289,0.3456,DrugBank,LapRLS
DB09049,DB05424,0.3455,DrugBank,LapRLS
DB00674,DB01213,0.3453,CRD,LapRLS
DB00270,DB06689,0.3451,CRD,LapRLS
DB00668,DB06689,0.3448,CRD,LapRLS
DB00405,DB00243,0.3445,DrugBank,LapRLS
DB00313,DB06689,0.3444,CRD,LapRLS
DB00408,DB00243,0.3443,DrugBank,LapRLS
DB00502,DB06728,0.3443,CRD,LapRLS
DB00967,DB00648,0.3442,DrugBank,LapRLS
DB00615,DB06689,0.3437,CRD,LapRLS
DB00224,DB06689,0.3436,CRD,LapRLS
DB00752,DB08985,0.3434,DrugBank,LapRLS
DB08964,DB13509,0.3434,DrugBank,LapRLS
DB00831,DB06707,0.3432,DrugBank,LapRLS
DB11785,DB11609,0.3426,DrugBank,LapRLS
DB01356,DB00372,0.3426,DrugBank,LapRLS
DB00497,DB06800,0.3425,DrugBank,LapRLS
DB01071,DB01175,0.3423,DrugBank,LapRLS
DB09498,DB06778,0.342,NCRD,LapRLS
DB01151,DB12248,0.3418,DrugBank,LapRLS
DB00741,DB06689,0.3416,CRD,LapRLS
DB09268,DB08795,0.3414,DrugBank,LapRLS
DB00216,DB06689,0.3411,CRD,LapRLS
DB00856,DB01213,0.3408,CRD,LapRLS
DB11785,DB09272,0.3408,DrugBank,LapRLS
DB00334,DB06707,0.3399,DrugBank,LapRLS
DB00872,DB09238,0.3396,DrugBank,LapRLS
DB12930,DB00468,0.3394,DrugBank,LapRLS
DB00532,DB06728,0.3392,CRD,LapRLS
DB00213,DB00592,0.3391,CRD,LapRLS
DB11785,DB01057,0.339,DrugBank,LapRLS
DB00628,DB01213,0.3385,CRD,LapRLS
DB01392,DB09227,0.3384,DrugBank,LapRLS
DB01037,DB00902,0.3378,DrugBank,LapRLS
DB01246,DB09194,0.3376,DrugBank,LapRLS
DB00967,DB09195,0.3376,DrugBank,LapRLS
DB04573,DB11672,0.3373,DrugBank,LapRLS
DB09070,DB00582,0.3372,DrugBank,LapRLS
DB09245,DB08985,0.3372,DrugBank,LapRLS
DB00477,DB06707,0.337,DrugBank,LapRLS
DB00546,DB00849,0.3369,DrugBank,LapRLS
DB00705,DB06728,0.3369,CRD,LapRLS
DB00584,DB06728,0.3368,CRD,LapRLS
DB00701,DB06728,0.3367,CRD,LapRLS
DB01242,DB05395,0.3367,DrugBank,LapRLS
DB00925,DB06707,0.3364,DrugBank,LapRLS
DB00300,DB06689,0.3363,CRD,LapRLS
DB01511,DB01104,0.3359,DrugBank,LapRLS
DB00204,DB06689,0.3359,CRD,LapRLS
DB01324,DB13509,0.3358,DrugBank,LapRLS
DB00602,DB01213,0.3356,CRD,LapRLS
DB12843,DB11901,0.3356,DrugBank,LapRLS
DB01612,DB00831,0.3354,NCRD,LapRLS
DB00393,DB06689,0.3349,CRD,LapRLS
DB00584,DB03756,0.3348,CRD,LapRLS
DB09070,DB08912,0.3347,DrugBank,LapRLS
DB00546,DB00476,0.3341,DrugBank,LapRLS
DB00243,DB01213,0.3341,CRD,LapRLS
DB00999,DB13509,0.334,DrugBank,LapRLS
DB00315,DB06728,0.334,CRD,LapRLS
DB00537,DB03756,0.3337,CRD,LapRLS
DB00426,DB06689,0.3336,CRD,LapRLS
DB00301,DB06728,0.3336,CRD,LapRLS
DB01622,DB01156,0.3336,DrugBank,LapRLS
DB00390,DB09213,0.3333,DrugBank,LapRLS
DB13114,DB01235,0.3332,DrugBank,LapRLS
DB00295,DB01213,0.3332,CRD,LapRLS
DB00967,DB00208,0.3331,DrugBank,LapRLS
DB00254,DB03756,0.333,CRD,LapRLS
DB00372,DB09194,0.3329,DrugBank,LapRLS
DB01037,DB06152,0.3328,DrugBank,LapRLS
DB09245,DB01364,0.3323,DrugBank,LapRLS
DB00524,DB13509,0.3322,DrugBank,LapRLS
DB00568,DB06700,0.332,DrugBank,LapRLS
DB00213,DB03128,0.3317,CRD,LapRLS
DB00475,DB01213,0.3316,CRD,LapRLS
DB00520,DB01213,0.3315,CRD,LapRLS
DB01621,DB01611,0.3315,DrugBank,LapRLS
DB09285,DB09213,0.3315,DrugBank,LapRLS
DB00854,DB09049,0.3315,DrugBank,LapRLS
DB00316,DB03568,0.3312,NCRD,LapRLS
DB09070,DB00564,0.331,DrugBank,LapRLS
DB13307,DB11901,0.3308,DrugBank,LapRLS
DB00539,DB06728,0.3308,CRD,LapRLS
DB00514,DB01173,0.3308,DrugBank,LapRLS
DB00615,DB01213,0.3306,CRD,LapRLS
DB00296,DB00866,0.3306,DrugBank,LapRLS
DB00408,DB01472,0.3304,DrugBank,LapRLS
DB01511,DB00472,0.3303,DrugBank,LapRLS
DB11785,DB06738,0.3302,DrugBank,LapRLS
DB13114,DB09065,0.3301,DrugBank,LapRLS
DB00232,DB08960,0.33,DrugBank,LapRLS
DB01586,DB04557,0.3299,CRD,LapRLS
DB09214,DB00864,0.3298,DrugBank,LapRLS
DB00615,DB03756,0.3297,CRD,LapRLS
DB00224,DB06728,0.3297,CRD,LapRLS
DB00400,DB06689,0.3296,CRD,LapRLS
DB01185,DB09063,0.3294,DrugBank,LapRLS
DB08550,DB08985,0.3294,DrugBank,LapRLS
DB01185,DB00224,0.3291,DrugBank,LapRLS
DB00704,DB01213,0.3291,CRD,LapRLS
DB09214,DB01118,0.3291,DrugBank,LapRLS
DB01511,DB00715,0.329,DrugBank,LapRLS
DB00408,DB01622,0.329,DrugBank,LapRLS
DB00392,DB01501,0.3288,DrugBank,LapRLS
DB00776,DB06728,0.3287,CRD,LapRLS
DB00559,DB06689,0.3286,CRD,LapRLS
DB01251,DB09065,0.3285,DrugBank,LapRLS
DB09070,DB06717,0.3283,DrugBank,LapRLS
DB01511,DB00285,0.3283,DrugBank,LapRLS
DB05289,DB13143,0.3283,DrugBank,LapRLS
DB01576,DB00830,0.3282,DrugBank,LapRLS
DB04573,DB09118,0.3282,DrugBank,LapRLS
DB09232,DB13919,0.328,DrugBank,LapRLS
DB00153,DB03756,0.3279,CRD,LapRLS
DB11755,DB00951,0.3279,DrugBank,LapRLS
DB01002,DB13530,0.3275,DrugBank,LapRLS
DB00511,DB11901,0.3274,DrugBank,LapRLS
DB00961,DB00661,0.3273,DrugBank,LapRLS
DB00344,DB08985,0.3272,DrugBank,LapRLS
DB00252,DB00592,0.3269,CRD,LapRLS
DB00214,DB06728,0.3269,CRD,LapRLS
DB01622,DB06707,0.3269,DrugBank,LapRLS
DB09555,DB00849,0.3268,DrugBank,LapRLS
DB00191,DB00514,0.3268,DrugBank,LapRLS
DB00661,DB06707,0.3267,DrugBank,LapRLS
DB00444,DB01213,0.3266,CRD,LapRLS
DB00615,DB06728,0.3262,CRD,LapRLS
DB13114,DB08941,0.3259,DrugBank,LapRLS
DB09214,DB11268,0.3259,DrugBank,LapRLS
DB01200,DB09240,0.3259,DrugBank,LapRLS
DB00327,DB06800,0.3256,DrugBank,LapRLS
DB01511,DB00476,0.3256,DrugBank,LapRLS
DB00450,DB00648,0.3255,DrugBank,LapRLS
DB13532,DB13509,0.3255,DrugBank,LapRLS
DB01242,DB09239,0.3255,DrugBank,LapRLS
DB08996,DB00468,0.3253,DrugBank,LapRLS
DB00961,DB04855,0.3252,DrugBank,LapRLS
DB00856,DB11640,0.3251,NCRD,LapRLS
DB09295,DB09213,0.3251,DrugBank,LapRLS
DB03701,DB09194,0.3249,DrugBank,LapRLS
DB00440,DB01213,0.3248,CRD,LapRLS
DB01511,DB01149,0.3248,DrugBank,LapRLS
DB11273,DB08912,0.3247,DrugBank,LapRLS
DB04858,DB04557,0.3245,CRD,LapRLS
DB01151,DB00528,0.3243,DrugBank,LapRLS
DB00451,DB06728,0.3241,CRD,LapRLS
DB00961,DB09074,0.3239,DrugBank,LapRLS
DB01242,DB12248,0.3239,DrugBank,LapRLS
DB01215,DB00701,0.3236,DrugBank,LapRLS
DB01037,DB08967,0.3236,DrugBank,LapRLS
DB00768,DB00396,0.3235,DrugBank,LapRLS
DB00294,DB03128,0.3233,CRD,LapRLS
DB01185,DB01045,0.3233,DrugBank,LapRLS
DB01151,DB08899,0.3233,DrugBank,LapRLS
DB00433,DB13781,0.3232,DrugBank,LapRLS
DB01267,DB11672,0.3231,DrugBank,LapRLS
DB00724,DB06689,0.32299999999999995,CRD,LapRLS
DB11636,DB00834,0.32299999999999995,DrugBank,LapRLS
DB11273,DB09330,0.3228,DrugBank,LapRLS
DB00334,DB01213,0.3228,CRD,LapRLS
DB01151,DB14033,0.3227,DrugBank,LapRLS
DB00541,DB06689,0.3224,CRD,LapRLS
DB00312,DB06728,0.3223,CRD,LapRLS
DB00776,DB03756,0.3223,CRD,LapRLS
DB09555,DB06700,0.3222,DrugBank,LapRLS
DB00752,DB06152,0.322,DrugBank,LapRLS
DB00187,DB13532,0.322,DrugBank,LapRLS
DB00392,DB00268,0.3219,DrugBank,LapRLS
DB00392,DB00215,0.3219,DrugBank,LapRLS
DB01511,DB01175,0.3219,DrugBank,LapRLS
DB00724,DB03756,0.3218,CRD,LapRLS
DB09555,DB12401,0.3217,DrugBank,LapRLS
DB00777,DB00215,0.3214,DrugBank,LapRLS
DB09351,DB01151,0.3214,DrugBank,LapRLS
DB06153,DB06707,0.3214,DrugBank,LapRLS
DB00405,DB00289,0.3211,DrugBank,LapRLS
DB00497,DB09049,0.321,DrugBank,LapRLS
DB00408,DB00257,0.321,DrugBank,LapRLS
DB00808,DB13509,0.321,DrugBank,LapRLS
DB13520,DB01118,0.3209,DrugBank,LapRLS
DB00708,DB01213,0.3209,CRD,LapRLS
DB00628,DB06728,0.3208,CRD,LapRLS
DB13875,DB08985,0.3207,DrugBank,LapRLS
DB00237,DB00964,0.3205,DrugBank,LapRLS
DB01185,DB00582,0.3203,DrugBank,LapRLS
DB04957,DB01353,0.3203,DrugBank,LapRLS
DB00961,DB00243,0.3203,DrugBank,LapRLS
DB01185,DB01601,0.3203,DrugBank,LapRLS
DB00433,DB00964,0.3202,DrugBank,LapRLS
DB00468,DB09231,0.3201,DrugBank,LapRLS
DB01511,DB00653,0.3201,DrugBank,LapRLS
DB01071,DB00956,0.3201,DrugBank,LapRLS
DB00668,DB06728,0.3201,CRD,LapRLS
DB00353,DB08922,0.32,DrugBank,LapRLS
DB13345,DB01118,0.3197,DrugBank,LapRLS
DB01185,DB01118,0.3197,DrugBank,LapRLS
DB00705,DB06689,0.3196,CRD,LapRLS
DB01357,DB00188,0.3195,DrugBank,LapRLS
DB04896,DB14033,0.3195,DrugBank,LapRLS
DB09070,DB00673,0.3194,DrugBank,LapRLS
DB09049,DB09194,0.3193,DrugBank,LapRLS
DB00320,DB06728,0.319,CRD,LapRLS
DB00268,DB06689,0.319,CRD,LapRLS
