Drug1,Drug2,Prob,Source,Method
DB06799,DB00720,0.4862,DrugBank,GIP
DB00228,DB00531,0.4857,CRD,GIP
DB01407,DB05381,0.4854,CRD,GIP
DB04325,DB06370,0.4834,DrugBank,GIP
DB00494,DB09332,0.4827,NCRD,GIP
DB09459,DB09009,0.4826,DrugBank,GIP
DB03754,DB06200,0.4815,DrugBank,GIP
DB09063,DB01056,0.4805,CRD,GIP
DB01612,DB09084,0.4802,DrugBank,GIP
DB01054,DB00741,0.479,WP4,GIP
DB00865,DB00712,0.4788,NCRD,GIP
DB06783,DB06267,0.4787,DrugBank,GIP
DB06783,DB01028,0.4786,DrugBank,GIP
DB09072,DB00714,0.4785,DrugBank,GIP
DB06689,DB00531,0.4784,CRD,GIP
DB09561,DB09321,0.4784,DrugBank,GIP
DB01143,DB00909,0.4783,NCRD,GIP
DB01074,DB09321,0.4768,DrugBank,GIP
DB00494,DB02300,0.4765,NCRD,GIP
DB06478,DB02509,0.4759,NCRD,GIP
DB06737,DB09270,0.4744,NCRD,GIP
DB09017,DB00741,0.4739,WP4,GIP
DB06799,DB01243,0.4725,DrugBank,GIP
DB01612,DB06670,0.4716,DrugBank,GIP
DB00865,DB05015,0.4692,NCRD,GIP
DB06739,DB00369,0.4682,NCRD,GIP
DB03754,DB04165,0.4682,DrugBank,GIP
DB01143,DB01582,0.4671,NCRD,GIP
DB00580,DB01252,0.4663,NCRD,GIP
DB04830,DB09283,0.4662,DrugBank,GIP
DB06261,DB09321,0.4662,DrugBank,GIP
DB00391,DB00727,0.4662,NCRD,GIP
DB04539,DB00228,0.4657,DrugBank,GIP
DB11898,DB05095,0.4649,DrugBank,GIP
DB01104,DB00655,0.4638,WP4,GIP
DB06445,DB00250,0.4638,DrugBank,GIP
DB00580,DB06654,0.4632,NCRD,GIP
DB00530,DB00130,0.4632,NCRD,GIP
DB00822,DB09009,0.4625,DrugBank,GIP
DB00494,DB00655,0.4615,WP4,GIP
DB00494,DB00434,0.4609,NCRD,GIP
DB09102,DB00974,0.4607,CRD,GIP
DB01612,DB01438,0.4607,DrugBank,GIP
DB06783,DB00879,0.4605,DrugBank,GIP
DB01170,DB00658,0.4598,DrugBank,GIP
DB00993,DB04953,0.4596,NCRD,GIP
DB00158,DB00755,0.4591,CRD,GIP
DB00527,DB00916,0.4586,NCRD,GIP
DB00339,DB01107,0.4582,CRD,GIP
DB03754,DB04459,0.4575,DrugBank,GIP
DB09102,DB01171,0.4572,CRD,GIP
DB06689,DB05219,0.4567,CRD,GIP
DB13231,DB12967,0.4565,DrugBank,GIP
DB13074,DB00228,0.4561,CRD,GIP
DB00228,DB00960,0.4557,CRD,GIP
DB04827,DB08993,0.4556,DrugBank,GIP
DB04165,DB09053,0.4551,DrugBank,GIP
DB00580,DB00892,0.455,NCRD,GIP
DB01612,DB08955,0.4548,DrugBank,GIP
DB00672,DB01275,0.4546,CRD,GIP
DB06626,DB00437,0.4532,NCRD,GIP
DB04830,DB09225,0.4527,DrugBank,GIP
DB01409,DB01064,0.4519,CRD,GIP
DB00228,DB01181,0.4514,CRD,GIP
DB03127,DB09321,0.4509,DrugBank,GIP
DB00366,DB00951,0.4506,CRD,GIP
DB06783,DB13217,0.4505,DrugBank,GIP
DB12821,DB09283,0.4504,DrugBank,GIP
DB09281,DB09053,0.4503,DrugBank,GIP
DB00875,DB00143,0.4494,NCRD,GIP
DB00912,DB06204,0.4469,CRD,GIP
DB01136,DB00974,0.4468,NCRD,GIP
DB00580,DB06713,0.4467,NCRD,GIP
DB06689,DB00165,0.4466,CRD,GIP
DB11581,DB00195,0.4461,CRD,GIP
DB00527,DB04953,0.446,NCRD,GIP
DB00305,DB02509,0.4458,NCRD,GIP
DB00974,DB09321,0.4456,DrugBank,GIP
DB06689,DB04948,0.4454,CRD,GIP
DB04830,DB00744,0.4451,DrugBank,GIP
DB00753,DB09283,0.445,DrugBank,GIP
DB05676,DB06204,0.4447,CRD,GIP
DB00993,DB01582,0.4437,NCRD,GIP
DB04539,DB09009,0.4434,DrugBank,GIP
DB00527,DB00909,0.4433,NCRD,GIP
DB00371,DB11780,0.4433,DrugBank,GIP
DB13099,DB01377,0.4431,DrugBank,GIP
DB00711,DB02509,0.443,NCRD,GIP
DB04325,DB06726,0.443,DrugBank,GIP
DB00658,DB06266,0.4427,DrugBank,GIP
DB06728,DB00494,0.4426,DrugBank,GIP
DB00788,DB00996,0.4425,NCRD,GIP
DB11581,DB09224,0.442,CRD,GIP
DB09072,DB06726,0.4415,DrugBank,GIP
DB01685,DB00411,0.4412,NCRD,GIP
DB11967,DB11640,0.4409,NCRD,GIP
DB09102,DB09224,0.4406,CRD,GIP
DB06799,DB01438,0.44,DrugBank,GIP
DB00912,DB06689,0.44,CRD,GIP
DB00753,DB00330,0.4396,DrugBank,GIP
DB01577,DB08896,0.4393,CRD,GIP
DB06445,DB03880,0.4382,DrugBank,GIP
DB00788,DB00951,0.4382,NCRD,GIP
DB00500,DB06204,0.4382,NCRD,GIP
DB06510,DB01525,0.4381,NCRD,GIP
DB00494,DB09212,0.4374,NCRD,GIP
DB09063,DB01043,0.4371,CRD,GIP
DB01878,DB01377,0.4366,DrugBank,GIP
DB01612,DB01289,0.4349,DrugBank,GIP
DB00584,DB00390,0.4349,WP4,GIP
DB00658,DB12884,0.4341,DrugBank,GIP
DB00742,DB00898,0.4336,WP4,GIP
DB06210,DB00191,0.4332,NCRD,GIP
DB11632,DB01056,0.4327,CRD,GIP
DB00382,DB00264,0.4324,CRD,GIP
DB11898,DB09138,0.4319,DrugBank,GIP
DB00962,DB00711,0.4316,NCRD,GIP
DB00763,DB00658,0.4308,DrugBank,GIP
DB13155,DB00411,0.4307,NCRD,GIP
DB00325,DB09225,0.4305,DrugBank,GIP
DB00962,DB02509,0.4303,NCRD,GIP
DB00865,DB00892,0.43,NCRD,GIP
DB01440,DB00525,0.4294,DrugBank,GIP
DB04539,DB05095,0.4292,DrugBank,GIP
DB00658,DB01243,0.429,DrugBank,GIP
DB00313,DB09321,0.4289,DrugBank,GIP
DB06689,DB01182,0.4281,CRD,GIP
DB00494,DB09205,0.4278,NCRD,GIP
DB04830,DB09254,0.4274,DrugBank,GIP
DB09026,DB06727,0.4267,CRD,GIP
DB13074,DB00804,0.4259,CRD,GIP
DB01407,DB06727,0.4257,CRD,GIP
DB00974,DB00277,0.4257,WP4,GIP
DB00658,DB12873,0.4256,DrugBank,GIP
DB06799,DB00250,0.4254,DrugBank,GIP
DB06739,DB01122,0.4247,NCRD,GIP
DB11780,DB09053,0.4244,DrugBank,GIP
DB00865,DB05804,0.4243,NCRD,GIP
DB01577,DB11780,0.4243,DrugBank,GIP
DB00325,DB00744,0.4234,DrugBank,GIP
DB06782,DB01143,0.4233,DrugBank,GIP
DB00550,DB01525,0.4233,NCRD,GIP
DB13058,DB12967,0.4232,DrugBank,GIP
DB00753,DB00744,0.4231,DrugBank,GIP
DB09269,DB00184,0.4231,NCRD,GIP
DB06782,DB00331,0.423,DrugBank,GIP
DB04557,DB00330,0.423,DrugBank,GIP
DB00122,DB00697,0.423,DrugBank,GIP
DB06732,DB00545,0.4229,CRD,GIP
DB08841,DB11780,0.4216,DrugBank,GIP
DB03756,DB01126,0.4211,CRD,GIP
DB00580,DB06262,0.4204,NCRD,GIP
DB11581,DB03128,0.4202,CRD,GIP
DB00360,DB00437,0.4201,NCRD,GIP
DB00530,DB09117,0.4199,NCRD,GIP
DB06261,DB00228,0.4199,DrugBank,GIP
DB01143,DB00712,0.4199,NCRD,GIP
DB01403,DB00755,0.4191,CRD,GIP
DB12821,DB00658,0.4189,DrugBank,GIP
DB00252,DB00721,0.4179,NCRD,GIP
DB03754,DB08955,0.4178,DrugBank,GIP
DB00753,DB09251,0.4166,DrugBank,GIP
DB01143,DB12770,0.4163,DrugBank,GIP
DB00158,DB03128,0.4161,CRD,GIP
DB00875,DB00336,0.4157,NCRD,GIP
DB01582,DB00437,0.4155,NCRD,GIP
DB00500,DB00788,0.4152,NCRD,GIP
DB06799,DB11919,0.4152,DrugBank,GIP
DB01409,DB06637,0.415,CRD,GIP
DB00488,DB12770,0.4149,DrugBank,GIP
DB00382,DB00858,0.4149,CRD,GIP
DB06698,DB04930,0.4145,DrugBank,GIP
DB09102,DB01213,0.4143,CRD,GIP
DB00906,DB00191,0.4129,NCRD,GIP
DB00693,DB04572,0.4128,CRD,GIP
DB05039,DB00437,0.4126,NCRD,GIP
DB01074,DB09009,0.4121,DrugBank,GIP
DB00550,DB01408,0.4117,NCRD,GIP
DB01043,DB00277,0.4114,WP4,GIP
DB01612,DB06370,0.4113,DrugBank,GIP
DB00159,DB00250,0.4106,DrugBank,GIP
DB12821,DB12381,0.4102,DrugBank,GIP
DB00951,DB08933,0.4102,DrugBank,GIP
DB06799,DB03880,0.4102,DrugBank,GIP
DB09499,DB00176,0.4096,DrugBank,GIP
DB01403,DB01043,0.4094,CRD,GIP
DB11898,DB09283,0.4093,DrugBank,GIP
DB09459,DB09283,0.4092,DrugBank,GIP
DB01213,DB01396,0.4083,CRD,GIP
DB06739,DB02300,0.4082,NCRD,GIP
DB11632,DB00974,0.4081,CRD,GIP
DB00228,DB00330,0.4081,DrugBank,GIP
DB00550,DB04889,0.408,NCRD,GIP
DB09102,DB01235,0.4078,CRD,GIP
DB01878,DB04930,0.4077,DrugBank,GIP
DB00865,DB00675,0.4073,NCRD,GIP
DB00865,DB00150,0.4066,NCRD,GIP
DB00906,DB00127,0.4055,NCRD,GIP
DB09499,DB13323,0.4055,DrugBank,GIP
DB09031,DB09009,0.4053,DrugBank,GIP
DB00859,DB09009,0.4043,DrugBank,GIP
DB04827,DB00515,0.4034,DrugBank,GIP
DB09561,DB05095,0.4033,DrugBank,GIP
DB01090,DB00633,0.403,DrugBank,GIP
DB00712,DB00711,0.4027,NCRD,GIP
DB00658,DB09084,0.4027,DrugBank,GIP
DB01170,DB09225,0.4022,DrugBank,GIP
DB00224,DB00179,0.4021,CRD,GIP
DB00892,DB00916,0.4018,NCRD,GIP
DB00550,DB01161,0.4016,NCRD,GIP
DB01577,DB09321,0.4016,DrugBank,GIP
DB03754,DB13879,0.4014,DrugBank,GIP
DB00382,DB01168,0.4013,CRD,GIP
DB03754,DB00456,0.4013,DrugBank,GIP
DB01008,DB00658,0.4009,DrugBank,GIP
DB00173,DB02509,0.4009,NCRD,GIP
DB09224,DB00636,0.4006,CRD,GIP
DB12821,DB04858,0.4005,DrugBank,GIP
DB00580,DB11181,0.4003,NCRD,GIP
DB00228,DB09555,0.4002,CRD,GIP
DB01019,DB08933,0.3997,DrugBank,GIP
DB05676,DB09148,0.3997,CRD,GIP
DB06783,DB09084,0.3989,DrugBank,GIP
DB00945,DB00741,0.3986,WP4,GIP
DB06728,DB12289,0.3984,DrugBank,GIP
DB06154,DB09009,0.3983,DrugBank,GIP
DB04325,DB11477,0.3979,DrugBank,GIP
DB06510,DB00669,0.3978,NCRD,GIP
DB00916,DB00437,0.3977,NCRD,GIP
DB04572,DB09283,0.3977,DrugBank,GIP
DB13231,DB13595,0.397,DrugBank,GIP
DB01036,DB00228,0.3968,CRD,GIP
DB09251,DB09283,0.3966,DrugBank,GIP
DB00550,DB00414,0.3964,NCRD,GIP
DB09342,DB09270,0.3961,NCRD,GIP
DB11898,DB09225,0.3959,DrugBank,GIP
DB00527,DB00451,0.3958,NCRD,GIP
DB00530,DB00677,0.3958,NCRD,GIP
DB00158,DB11155,0.3956,CRD,GIP
DB06706,DB12340,0.3953,DrugBank,GIP
DB00668,DB00277,0.3944,WP4,GIP
DB06737,DB01525,0.3939,NCRD,GIP
DB01582,DB00916,0.3928,NCRD,GIP
DB03756,DB13217,0.3928,DrugBank,GIP
DB12821,DB09251,0.3926,DrugBank,GIP
DB03756,DB00960,0.3925,CRD,GIP
DB02962,DB09138,0.3924,DrugBank,GIP
DB01036,DB00974,0.3924,CRD,GIP
DB00727,DB09283,0.3921,DrugBank,GIP
DB00875,DB09332,0.3921,NCRD,GIP
DB00763,DB04858,0.3918,DrugBank,GIP
DB01143,DB02095,0.3916,NCRD,GIP
DB00742,DB08844,0.3915,WP4,GIP
DB00550,DB01337,0.3912,NCRD,GIP
DB00325,DB11780,0.391,DrugBank,GIP
DB12821,DB06268,0.3904,DrugBank,GIP
DB06782,DB13323,0.3903,DrugBank,GIP
DB06478,DB11640,0.3903,NCRD,GIP
DB06706,DB13323,0.3898,DrugBank,GIP
DB00349,DB06637,0.3898,CRD,GIP
DB01008,DB09225,0.3896,DrugBank,GIP
DB06445,DB00331,0.3888,DrugBank,GIP
DB00875,DB01083,0.3885,NCRD,GIP
DB09224,DB00339,0.3885,CRD,GIP
DB01143,DB01337,0.3883,NCRD,GIP
DB04827,DB00525,0.3881,DrugBank,GIP
DB06709,DB05095,0.3879,DrugBank,GIP
DB00672,DB01577,0.3876,CRD,GIP
DB03040,DB08993,0.3876,DrugBank,GIP
DB09269,DB01136,0.3875,NCRD,GIP
DB00742,DB13217,0.3874,DrugBank,GIP
DB06445,DB13595,0.3873,DrugBank,GIP
DB01043,DB05095,0.3869,DrugBank,GIP
DB00382,DB02901,0.3867,CRD,GIP
DB01563,DB13217,0.3859,DrugBank,GIP
DB00658,DB08827,0.3855,DrugBank,GIP
DB00871,DB02509,0.3854,NCRD,GIP
DB04557,DB01406,0.3853,DrugBank,GIP
DB01170,DB12381,0.3851,DrugBank,GIP
DB09031,DB04930,0.3851,DrugBank,GIP
DB06261,DB05095,0.385,DrugBank,GIP
DB01685,DB03822,0.385,NCRD,GIP
DB01539,DB08844,0.3849,WP4,GIP
DB11779,DB01171,0.3846,CRD,GIP
DB00388,DB00996,0.3843,NCRD,GIP
DB01582,DB00594,0.3842,NCRD,GIP
DB09132,DB09138,0.3842,DrugBank,GIP
DB09459,DB12901,0.3839,DrugBank,GIP
DB03128,DB01092,0.3835,CRD,GIP
DB06737,DB05015,0.3834,NCRD,GIP
DB09139,DB12381,0.3834,DrugBank,GIP
DB09277,DB13217,0.3833,DrugBank,GIP
DB06783,DB00818,0.3833,DrugBank,GIP
DB00500,DB00780,0.383,NCRD,GIP
DB01236,DB05540,0.3823,DrugBank,GIP
DB11779,DB06594,0.3822,CRD,GIP
DB14043,DB09009,0.3822,DrugBank,GIP
DB06799,DB00459,0.3814,DrugBank,GIP
DB00658,DB00331,0.3812,DrugBank,GIP
DB00811,DB06201,0.3801,NCRD,GIP
DB04830,DB01113,0.3801,DrugBank,GIP
DB00388,DB00951,0.3796,NCRD,GIP
DB03128,DB00523,0.3795,CRD,GIP
DB00202,DB04930,0.3795,DrugBank,GIP
DB00158,DB01234,0.3794,WP4,GIP
DB13155,DB05381,0.3794,NCRD,GIP
DB06782,DB06554,0.379,DrugBank,GIP
DB01236,DB01406,0.379,DrugBank,GIP
DB08841,DB09321,0.3789,DrugBank,GIP
DB00658,DB06635,0.3788,DrugBank,GIP
DB03793,DB09009,0.3784,DrugBank,GIP
DB01036,DB06689,0.3782,CRD,GIP
DB11779,DB01176,0.3779,CRD,GIP
DB09063,DB06727,0.3774,CRD,GIP
DB00488,DB12381,0.3772,DrugBank,GIP
DB08881,DB00371,0.3771,CRD,GIP
DB00494,DB01445,0.3768,NCRD,GIP
DB09269,DB09245,0.3766,NCRD,GIP
DB00619,DB00636,0.376,NCRD,GIP
DB00974,DB04930,0.3756,DrugBank,GIP
DB13058,DB00331,0.3754,DrugBank,GIP
DB11779,DB00195,0.3753,CRD,GIP
DB00658,DB01143,0.3752,DrugBank,GIP
DB00436,DB00437,0.375,NCRD,GIP
DB00159,DB00633,0.3748,DrugBank,GIP
DB01213,DB00960,0.3743,CRD,GIP
DB00656,DB00655,0.3741,WP4,GIP
DB13231,DB01683,0.3735,DrugBank,GIP
DB00993,DB06152,0.3735,NCRD,GIP
DB06728,DB13835,0.3734,DrugBank,GIP
DB00173,DB00166,0.3731,NCRD,GIP
DB06510,DB00586,0.3729,NCRD,GIP
DB05381,DB09283,0.3728,DrugBank,GIP
DB06737,DB01161,0.3726,NCRD,GIP
DB00583,DB00228,0.3724,DrugBank,GIP
DB00892,DB01582,0.3722,NCRD,GIP
DB03754,DB13595,0.3720000000000001,DrugBank,GIP
DB00366,DB01170,0.3719,CRD,GIP
DB00993,DB01337,0.3717,NCRD,GIP
DB06689,DB06512,0.3717,CRD,GIP
DB00500,DB00841,0.3713,NCRD,GIP
DB09026,DB01191,0.371,CRD,GIP
DB00658,DB04106,0.3709,DrugBank,GIP
DB00875,DB09245,0.3707,NCRD,GIP
DB01612,DB00451,0.3702,DrugBank,GIP
DB09072,DB13217,0.3702,DrugBank,GIP
DB01612,DB00660,0.3699,DrugBank,GIP
DB00847,DB00392,0.3698,NCRD,GIP
DB00454,DB01056,0.3696,CRD,GIP
DB06799,DB09089,0.3695,DrugBank,GIP
DB06154,DB08933,0.3691,DrugBank,GIP
DB13231,DB06726,0.3691,DrugBank,GIP
DB04325,DB01414,0.369,DrugBank,GIP
DB06732,DB09148,0.3689,CRD,GIP
DB00677,DB09254,0.3686,DrugBank,GIP
DB00741,DB00428,0.3685,WP4,GIP
DB06637,DB00398,0.3684,CRD,GIP
DB01213,DB00398,0.3684,CRD,GIP
DB00993,DB01252,0.3678,NCRD,GIP
DB09269,DB08893,0.3677,NCRD,GIP
DB06783,DB04106,0.3676,DrugBank,GIP
DB09102,DB00264,0.3676,CRD,GIP
DB01189,DB01295,0.3674,DrugBank,GIP
DB11898,DB00658,0.3673,DrugBank,GIP
DB05540,DB00330,0.3673,DrugBank,GIP
DB09281,DB12340,0.3670000000000001,DrugBank,GIP
DB11590,DB00550,0.3669,NCRD,GIP
DB04325,DB00488,0.3668,DrugBank,GIP
DB00360,DB00184,0.3665,NCRD,GIP
DB06799,DB02255,0.3664,DrugBank,GIP
DB00727,DB12901,0.3664,DrugBank,GIP
DB04572,DB00960,0.3661,CRD,GIP
DB00252,DB00313,0.3656,NCRD,GIP
DB06799,DB00216,0.3655,DrugBank,GIP
DB06689,DB00672,0.3654,CRD,GIP
DB01008,DB01406,0.3648,DrugBank,GIP
DB13099,DB09283,0.3648,DrugBank,GIP
DB04830,DB00555,0.3645,DrugBank,GIP
DB00620,DB04953,0.3643,NCRD,GIP
DB12821,DB09321,0.3642,DrugBank,GIP
DB00371,DB01235,0.3637,CRD,GIP
DB00583,DB09009,0.3632,DrugBank,GIP
DB06739,DB00870,0.3631,NCRD,GIP
DB02845,DB04132,0.3628,NCRD,GIP
DB11590,DB00291,0.3627,NCRD,GIP
DB04830,DB05540,0.3625,DrugBank,GIP
DB00951,DB00330,0.3619,DrugBank,GIP
DB06783,DB00456,0.3619,DrugBank,GIP
DB14007,DB05095,0.3617,DrugBank,GIP
DB09072,DB12667,0.3615,DrugBank,GIP
DB01587,DB00784,0.3615,CRD,GIP
DB08887,DB09138,0.3614,DrugBank,GIP
DB06728,DB00488,0.3611,DrugBank,GIP
DB06728,DB00960,0.361,CRD,GIP
DB01120,DB00866,0.3604,CRD,GIP
DB00576,DB04572,0.3604,CRD,GIP
DB09072,DB06266,0.3604,DrugBank,GIP
DB01236,DB03057,0.3603,DrugBank,GIP
DB04557,DB00371,0.3602,DrugBank,GIP
DB03756,DB00250,0.3602,DrugBank,GIP
DB01170,DB01113,0.3596,DrugBank,GIP
DB08921,DB01406,0.3596,DrugBank,GIP
DB06824,DB13217,0.3593,DrugBank,GIP
DB00658,DB04339,0.3593,DrugBank,GIP
DB06783,DB00467,0.3592,DrugBank,GIP
DB00550,DB00150,0.3591,NCRD,GIP
DB00488,DB00658,0.3587,DrugBank,GIP
DB00892,DB08826,0.3587,NCRD,GIP
DB06737,DB00540,0.3587,NCRD,GIP
DB11362,DB01056,0.3587,CRD,GIP
DB00672,DB00858,0.3584,CRD,GIP
DB09072,DB12873,0.3583,DrugBank,GIP
DB00693,DB09148,0.3582,CRD,GIP
DB03128,DB01396,0.3582,CRD,GIP
DB00658,DB12085,0.3582,DrugBank,GIP
DB00158,DB00264,0.358,CRD,GIP
DB09269,DB02095,0.3579,NCRD,GIP
DB00488,DB01224,0.3576,DrugBank,GIP
DB06737,DB00669,0.3574,NCRD,GIP
DB00962,DB06823,0.3574,NCRD,GIP
DB00527,DB00783,0.3571,NCRD,GIP
DB04557,DB01113,0.3569,DrugBank,GIP
DB01019,DB00330,0.3568,DrugBank,GIP
DB00530,DB00788,0.3567,NCRD,GIP
DB06782,DB12667,0.3564,DrugBank,GIP
DB06728,DB06266,0.3561,DrugBank,GIP
DB06782,DB00697,0.3561,DrugBank,GIP
DB09072,DB09343,0.3559,DrugBank,GIP
DB06783,DB12085,0.3557,DrugBank,GIP
DB00958,DB01582,0.3557,NCRD,GIP
DB00875,DB09212,0.3557,NCRD,GIP
DB00488,DB09069,0.3555,DrugBank,GIP
DB00191,DB00390,0.3554,CRD,GIP
DB01156,DB00927,0.3553,CRD,GIP
DB09561,DB09283,0.3551,DrugBank,GIP
DB01582,DB09332,0.3551,NCRD,GIP
DB03754,DB08960,0.355,DrugBank,GIP
DB00742,DB12921,0.3549,DrugBank,GIP
DB06510,DB01445,0.3548,NCRD,GIP
DB14043,DB08933,0.3546,DrugBank,GIP
DB01612,DB01117,0.3543,DrugBank,GIP
DB00693,DB01131,0.3541,CRD,GIP
DB03756,DB00627,0.3535,CRD,GIP
DB00693,DB03756,0.3533,CRD,GIP
DB00753,DB05100,0.3532,DrugBank,GIP
DB09459,DB06445,0.353,DrugBank,GIP
DB00658,DB01139,0.3524,DrugBank,GIP
DB00711,DB12770,0.3523,DrugBank,GIP
DB06732,DB03128,0.3522,CRD,GIP
DB01365,DB09053,0.3518,DrugBank,GIP
